Entity_ID,Account,Period,Cost_Center,Product,Amount,Currency
ParentCo,COGS,2024-Q1,Sales,Service Y,108967.78,USD
ParentCo,COGS,2024-Q1,Marketing,Product A,429917.48,USD
ParentCo,COGS,2024-Q1,Marketing,Product B,41118.9,EUR
ParentCo,COGS,2024-Q1,Marketing,Product C,47006.89,GBP
ParentCo,COGS,2024-Q1,Marketing,Service X,199988.11,EUR
ParentCo,COGS,2024-Q1,Marketing,Service Y,164455.53,EUR
ParentCo,COGS,2024-Q1,R&D,Product A,27215.07,GBP
ParentCo,COGS,2024-Q1,R&D,Product B,44173.36,GBP
ParentCo,COGS,2024-Q1,R&D,Product C,91197.3,GBP
ParentCo,COGS,2024-Q1,R&D,Service X,125564.6,GBP
ParentCo,COGS,2024-Q1,R&D,Service Y,455279.15,GBP
ParentCo,COGS,2024-Q1,Finance,Product A,13130.94,GBP
ParentCo,COGS,2024-Q1,Finance,Product B,373416.73,GBP
ParentCo,COGS,2024-Q1,Finance,Product C,434772.34,GBP
ParentCo,COGS,2024-Q1,Finance,Service X,247398.79,GBP
ParentCo,COGS,2024-Q1,Finance,Service Y,332634.51,EUR
ParentCo,COGS,2024-Q1,Operations,Product A,324552.55,EUR
ParentCo,COGS,2024-Q1,Operations,Product B,286756.48,GBP
ParentCo,COGS,2024-Q1,Operations,Product C,76184.51,EUR
ParentCo,COGS,2024-Q1,Operations,Service X,411521.7,USD
ParentCo,COGS,2024-Q1,Operations,Service Y,314097.57,EUR
ParentCo,Operating Expenses,2024-Q1,Sales,Product A,194048.75,EUR
ParentCo,Operating Expenses,2024-Q1,Sales,Product B,413322.23,USD
ParentCo,Operating Expenses,2024-Q1,Sales,Product C,242456.23,EUR
ParentCo,Operating Expenses,2024-Q1,Sales,Service X,227681.78,GBP
ParentCo,Operating Expenses,2024-Q1,Sales,Service Y,80173.33,GBP
ParentCo,Operating Expenses,2024-Q1,Marketing,Product A,453262.97,GBP
ParentCo,Operating Expenses,2024-Q1,Marketing,Product B,361244.23,USD
ParentCo,Operating Expenses,2024-Q1,Marketing,Product C,356630,EUR
ParentCo,Operating Expenses,2024-Q1,Marketing,Service X,263515.12,EUR
ParentCo,Operating Expenses,2024-Q1,Marketing,Service Y,433779.11,EUR
ParentCo,Operating Expenses,2024-Q1,R&D,Product A,216241.91,EUR
ParentCo,Operating Expenses,2024-Q1,R&D,Product B,189526.38,USD
ParentCo,Operating Expenses,2024-Q1,R&D,Product C,193531.38,USD
ParentCo,Operating Expenses,2024-Q1,R&D,Service X,52858.94,GBP
ParentCo,Operating Expenses,2024-Q1,R&D,Service Y,55010.16,USD
ParentCo,Operating Expenses,2024-Q1,Finance,Product A,73371.59,GBP
ParentCo,Operating Expenses,2024-Q1,Finance,Product B,268610.97,EUR
ParentCo,Operating Expenses,2024-Q1,Finance,Product C,165427.32,EUR
ParentCo,Operating Expenses,2024-Q1,Finance,Service X,260293.11,EUR
ParentCo,Operating Expenses,2024-Q1,Finance,Service Y,308555.02,GBP
ParentCo,Operating Expenses,2024-Q1,Operations,Product A,226663.74,EUR
ParentCo,Operating Expenses,2024-Q1,Operations,Product B,481187.48,EUR
ParentCo,Operating Expenses,2024-Q1,Operations,Product C,292505.27,GBP
ParentCo,Operating Expenses,2024-Q1,Operations,Service X,314590.9,GBP
ParentCo,Operating Expenses,2024-Q1,Operations,Service Y,491769.05,EUR
ParentCo,Net Income,2024-Q1,Sales,Product A,417890.32,GBP
ParentCo,Net Income,2024-Q1,Sales,Product B,317994.79,EUR
ParentCo,Net Income,2024-Q1,Sales,Product C,352656.31,EUR
ParentCo,Net Income,2024-Q1,Sales,Service X,34246.23,EUR
ParentCo,Net Income,2024-Q1,Sales,Service Y,194121.16,GBP
ParentCo,Net Income,2024-Q1,Marketing,Product A,155721.66,EUR
ParentCo,Net Income,2024-Q1,Marketing,Product B,423403.71,GBP
ParentCo,Net Income,2024-Q1,Marketing,Product C,430151.43,GBP
ParentCo,Net Income,2024-Q1,Marketing,Service X,459431.24,GBP
ParentCo,Net Income,2024-Q1,Marketing,Service Y,381377.38,GBP
ParentCo,Net Income,2024-Q1,R&D,Product A,406180.79,USD
ParentCo,Net Income,2024-Q1,R&D,Product B,316556.8,GBP
ParentCo,Net Income,2024-Q1,R&D,Product C,426715.16,GBP
ParentCo,Net Income,2024-Q1,R&D,Service X,296322.85,GBP
ParentCo,Net Income,2024-Q1,R&D,Service Y,13592.07,GBP
ParentCo,Net Income,2024-Q1,Finance,Product A,430306.83,GBP
ParentCo,Net Income,2024-Q1,Finance,Product B,420090.43,USD
ParentCo,Net Income,2024-Q1,Finance,Product C,255483.71,EUR
ParentCo,Net Income,2024-Q1,Finance,Service X,274669.47,EUR
ParentCo,Net Income,2024-Q1,Finance,Service Y,248745.29,EUR
ParentCo,Net Income,2024-Q1,Operations,Product A,407997.58,GBP
ParentCo,Net Income,2024-Q1,Operations,Product B,279237.98,USD
ParentCo,Net Income,2024-Q1,Operations,Product C,455279.63,GBP
ParentCo,Net Income,2024-Q1,Operations,Service X,248253.68,GBP
ParentCo,Net Income,2024-Q1,Operations,Service Y,238304.43,GBP
ParentCo,Assets,2024-Q1,Sales,Product A,141796.2,GBP
ParentCo,Assets,2024-Q1,Sales,Product B,381246.01,GBP
ParentCo,Assets,2024-Q1,Sales,Product C,81014.74,GBP
ParentCo,Assets,2024-Q1,Sales,Service X,174005.08,EUR
ParentCo,Assets,2024-Q1,Sales,Service Y,258441.81,EUR
ParentCo,Assets,2024-Q1,Marketing,Product A,276896.85,GBP
ParentCo,Assets,2024-Q1,Marketing,Product B,346125,EUR
ParentCo,Assets,2024-Q1,Marketing,Product C,327037.8,EUR
ParentCo,Assets,2024-Q1,Marketing,Service X,360452.39,GBP
ParentCo,Assets,2024-Q1,Marketing,Service Y,475422.07,GBP
ParentCo,Assets,2024-Q1,R&D,Product A,481862.76,USD
ParentCo,Assets,2024-Q1,R&D,Product B,63833.98,GBP
ParentCo,Assets,2024-Q1,R&D,Product C,454622.56,EUR
ParentCo,Assets,2024-Q1,R&D,Service X,168038.67,EUR
ParentCo,Assets,2024-Q1,R&D,Service Y,498100.77,EUR
ParentCo,Assets,2024-Q1,Finance,Product A,84657.19,EUR
ParentCo,Assets,2024-Q1,Finance,Product B,109668.37,USD
ParentCo,Assets,2024-Q1,Finance,Product C,393180.96,USD
ParentCo,Assets,2024-Q1,Finance,Service X,440965.75,EUR
ParentCo,Assets,2024-Q1,Finance,Service Y,152026.84,EUR
ParentCo,Assets,2024-Q1,Operations,Product A,14881.16,GBP
ParentCo,Assets,2024-Q1,Operations,Product B,474009.27,GBP
ParentCo,Assets,2024-Q1,Operations,Product C,428899.78,GBP
ParentCo,Assets,2024-Q1,Operations,Service X,358703.35,EUR
ParentCo,Assets,2024-Q1,Operations,Service Y,366110.87,EUR
ParentCo,Liabilities,2024-Q1,Sales,Product A,490004.34,USD
ParentCo,Liabilities,2024-Q1,Sales,Product B,62150.43,USD
ParentCo,Liabilities,2024-Q1,Sales,Product C,35758.43,USD
ParentCo,Liabilities,2024-Q1,Sales,Service X,119857.93,USD
ParentCo,Liabilities,2024-Q1,Sales,Service Y,46945.11,GBP
ParentCo,Liabilities,2024-Q1,Marketing,Product A,436276.2,GBP
ParentCo,Liabilities,2024-Q1,Marketing,Product B,153201.55,GBP
ParentCo,Liabilities,2024-Q1,Marketing,Product C,296948.8,GBP
ParentCo,Liabilities,2024-Q1,Marketing,Service X,277293.9,EUR
ParentCo,Liabilities,2024-Q1,Marketing,Service Y,40079.72,GBP
ParentCo,Liabilities,2024-Q1,R&D,Product A,462678.21,GBP
ParentCo,Liabilities,2024-Q1,R&D,Product B,491031.06,GBP
ParentCo,Liabilities,2024-Q1,R&D,Product C,192963.98,USD
ParentCo,Liabilities,2024-Q1,R&D,Service X,128808.13,EUR
ParentCo,Liabilities,2024-Q1,R&D,Service Y,143982.74,EUR
ParentCo,Liabilities,2024-Q1,Finance,Product A,38184.16,GBP
ParentCo,Liabilities,2024-Q1,Finance,Product B,159368.76,GBP
ParentCo,Liabilities,2024-Q1,Finance,Product C,494853.61,GBP
ParentCo,Liabilities,2024-Q1,Finance,Service X,370238.02,EUR
ParentCo,Liabilities,2024-Q1,Finance,Service Y,443503.91,EUR
ParentCo,Liabilities,2024-Q1,Operations,Product A,133077.89,EUR
ParentCo,Liabilities,2024-Q1,Operations,Product B,312890.6,USD
ParentCo,Liabilities,2024-Q1,Operations,Product C,367067.27,EUR
ParentCo,Liabilities,2024-Q1,Operations,Service X,105226.11,USD
ParentCo,Liabilities,2024-Q1,Operations,Service Y,483554.67,EUR
ParentCo,Equity,2024-Q1,Sales,Product A,482370.08,EUR
ParentCo,Equity,2024-Q1,Sales,Product B,382408.51,USD
ParentCo,Equity,2024-Q1,Sales,Product C,226341.57,USD
ParentCo,Equity,2024-Q1,Sales,Service X,496407.2,EUR
ParentCo,Equity,2024-Q1,Sales,Service Y,58488.11,EUR
ParentCo,Equity,2024-Q1,Marketing,Product A,244137.19,GBP
ParentCo,Equity,2024-Q1,Marketing,Product B,261070.89,GBP
ParentCo,Equity,2024-Q1,Marketing,Product C,390486.78,USD
ParentCo,Equity,2024-Q1,Marketing,Service X,144017.99,EUR
ParentCo,Equity,2024-Q1,Marketing,Service Y,317382.89,EUR
ParentCo,Equity,2024-Q1,R&D,Product A,108305.9,EUR
ParentCo,Equity,2024-Q1,R&D,Product B,41016.86,EUR
ParentCo,Equity,2024-Q1,R&D,Product C,118814.61,EUR
ParentCo,Equity,2024-Q1,R&D,Service X,442766.59,GBP
ParentCo,Equity,2024-Q1,R&D,Service Y,334881.97,GBP
ParentCo,Equity,2024-Q1,Finance,Product A,167623.65,USD
ParentCo,Equity,2024-Q1,Finance,Product B,196354.48,USD
ParentCo,Equity,2024-Q1,Finance,Product C,469009.16,EUR
ParentCo,Equity,2024-Q1,Finance,Service X,487749.85,EUR
ParentCo,Equity,2024-Q1,Finance,Service Y,461899.96,EUR
ParentCo,Equity,2024-Q1,Operations,Product A,171996.11,EUR
ParentCo,Equity,2024-Q1,Operations,Product B,356074.87,EUR
ParentCo,Equity,2024-Q1,Operations,Product C,168828.7,GBP
ParentCo,Equity,2024-Q1,Operations,Service X,323536.55,GBP
ParentCo,Equity,2024-Q1,Operations,Service Y,171285.02,GBP
ParentCo,Revenue,2024-Q2,Sales,Product A,274077.59,EUR
ParentCo,Revenue,2024-Q2,Sales,Product B,202290.15,GBP
ParentCo,Revenue,2024-Q2,Sales,Product C,112920.58,USD
ParentCo,Revenue,2024-Q2,Sales,Service X,240374.37,EUR
ParentCo,Revenue,2024-Q2,Sales,Service Y,403916.46,GBP
ParentCo,Revenue,2024-Q2,Marketing,Product A,293616.96,USD
ParentCo,Revenue,2024-Q2,Marketing,Product B,60730.07,EUR
ParentCo,Revenue,2024-Q2,Marketing,Product C,67202.35,USD
ParentCo,Revenue,2024-Q2,Marketing,Service X,24940.54,USD
ParentCo,Revenue,2024-Q2,Marketing,Service Y,273657.09,USD
ParentCo,Revenue,2024-Q2,R&D,Product A,299155.53,EUR
ParentCo,Revenue,2024-Q2,R&D,Product B,322921.87,USD
ParentCo,Revenue,2024-Q2,R&D,Product C,363671.05,USD
ParentCo,Revenue,2024-Q2,R&D,Service X,474752.9,EUR
ParentCo,Revenue,2024-Q2,R&D,Service Y,109791,USD
ParentCo,Revenue,2024-Q2,Finance,Product A,387953.59,USD
ParentCo,Revenue,2024-Q2,Finance,Product B,371646.95,USD
ParentCo,Revenue,2024-Q2,Finance,Product C,393397.94,USD
ParentCo,Revenue,2024-Q2,Finance,Service X,29792.55,GBP
ParentCo,Revenue,2024-Q2,Finance,Service Y,106863.15,GBP
ParentCo,Revenue,2024-Q2,Operations,Product A,285261.43,EUR
ParentCo,Revenue,2024-Q2,Operations,Product B,208036.49,USD
ParentCo,Revenue,2024-Q2,Operations,Product C,51437.17,GBP
ParentCo,Revenue,2024-Q2,Operations,Service X,285358.74,GBP
ParentCo,Revenue,2024-Q2,Operations,Service Y,254771.6,GBP
ParentCo,COGS,2024-Q2,Sales,Product A,410157.41,EUR
ParentCo,COGS,2024-Q2,Sales,Product B,195925.56,EUR
ParentCo,COGS,2024-Q2,Sales,Product C,128878.07,GBP
ParentCo,COGS,2024-Q2,Sales,Service X,472019.34,GBP
ParentCo,COGS,2024-Q2,Sales,Service Y,249680.22,GBP
ParentCo,COGS,2024-Q2,Marketing,Product A,273606.61,USD
ParentCo,COGS,2024-Q2,Marketing,Product B,460819.54,GBP
ParentCo,COGS,2024-Q2,Marketing,Product C,240001.39,EUR
ParentCo,COGS,2024-Q2,Marketing,Service X,131667.52,EUR
ParentCo,COGS,2024-Q2,Marketing,Service Y,66306.41,GBP
ParentCo,COGS,2024-Q2,R&D,Product A,33960.19,USD
ParentCo,COGS,2024-Q2,R&D,Product B,410379.49,EUR
ParentCo,COGS,2024-Q2,R&D,Product C,52576.11,EUR
ParentCo,COGS,2024-Q2,R&D,Service X,284208.27,EUR
ParentCo,COGS,2024-Q2,R&D,Service Y,200666.24,GBP
ParentCo,COGS,2024-Q2,Finance,Product A,387693.3,EUR
ParentCo,COGS,2024-Q2,Finance,Product B,155116.63,USD
ParentCo,COGS,2024-Q2,Finance,Product C,178469.25,EUR
ParentCo,COGS,2024-Q2,Finance,Service X,348610.78,EUR
ParentCo,COGS,2024-Q2,Finance,Service Y,409094.09,GBP
ParentCo,COGS,2024-Q2,Operations,Product A,174533.21,USD
ParentCo,COGS,2024-Q2,Operations,Product B,307667.28,USD
ParentCo,COGS,2024-Q2,Operations,Product C,291432.74,GBP
ParentCo,COGS,2024-Q2,Operations,Service X,269040.23,GBP
ParentCo,COGS,2024-Q2,Operations,Service Y,289038.58,USD
ParentCo,Operating Expenses,2024-Q2,Sales,Product A,340125.25,EUR
ParentCo,Operating Expenses,2024-Q2,Sales,Product B,68700.52,USD
ParentCo,Operating Expenses,2024-Q2,Sales,Product C,130392.88,USD
ParentCo,Operating Expenses,2024-Q2,Sales,Service X,174994.76,GBP
ParentCo,Operating Expenses,2024-Q2,Sales,Service Y,88467.55,EUR
ParentCo,Operating Expenses,2024-Q2,Marketing,Product A,467971.51,GBP
ParentCo,Operating Expenses,2024-Q2,Marketing,Product B,358595.92,GBP
ParentCo,Operating Expenses,2024-Q2,Marketing,Product C,183274.71,USD
ParentCo,Operating Expenses,2024-Q2,Marketing,Service X,226910.76,USD
ParentCo,Operating Expenses,2024-Q2,Marketing,Service Y,349708.67,GBP
ParentCo,Operating Expenses,2024-Q2,R&D,Product A,171432.84,GBP
ParentCo,Operating Expenses,2024-Q2,R&D,Product B,274221.73,GBP
ParentCo,Operating Expenses,2024-Q2,R&D,Product C,347471,GBP
ParentCo,Operating Expenses,2024-Q2,R&D,Service X,489120.46,USD
ParentCo,Operating Expenses,2024-Q2,R&D,Service Y,344826.12,EUR
ParentCo,Operating Expenses,2024-Q2,Finance,Product A,219788.8,USD
ParentCo,Operating Expenses,2024-Q2,Finance,Product B,221507.06,USD
ParentCo,Operating Expenses,2024-Q2,Finance,Product C,420540.91,USD
ParentCo,Operating Expenses,2024-Q2,Finance,Service X,362731.66,GBP
ParentCo,Operating Expenses,2024-Q2,Finance,Service Y,52111.37,EUR
ParentCo,Operating Expenses,2024-Q2,Operations,Product A,183682.3,GBP
ParentCo,Operating Expenses,2024-Q2,Operations,Product B,165691.55,GBP
ParentCo,Operating Expenses,2024-Q2,Operations,Product C,313592.32,USD
ParentCo,Operating Expenses,2024-Q2,Operations,Service X,180926.76,GBP
ParentCo,Operating Expenses,2024-Q2,Operations,Service Y,15175.55,USD
ParentCo,Net Income,2024-Q2,Sales,Product A,190250.02,EUR
ParentCo,Net Income,2024-Q2,Sales,Product B,52793.51,USD
ParentCo,Net Income,2024-Q2,Sales,Product C,419984.43,EUR
ParentCo,Net Income,2024-Q2,Sales,Service X,148555.4,GBP
ParentCo,Net Income,2024-Q2,Sales,Service Y,50123.08,EUR
ParentCo,Net Income,2024-Q2,Marketing,Product A,430169.75,EUR
ParentCo,Net Income,2024-Q2,Marketing,Product B,254365.03,USD
ParentCo,Net Income,2024-Q2,Marketing,Product C,386454.91,GBP
ParentCo,Net Income,2024-Q2,Marketing,Service X,46453.2,EUR
ParentCo,Net Income,2024-Q2,Marketing,Service Y,446359.94,USD
ParentCo,Net Income,2024-Q2,R&D,Product A,136965.44,USD
ParentCo,Net Income,2024-Q2,R&D,Product B,226347.92,GBP
ParentCo,Net Income,2024-Q2,R&D,Product C,471856.1,GBP
ParentCo,Net Income,2024-Q2,R&D,Service X,321266.52,USD
ParentCo,Net Income,2024-Q2,R&D,Service Y,91399.29,EUR
ParentCo,Net Income,2024-Q2,Finance,Product A,138600.44,USD
ParentCo,Net Income,2024-Q2,Finance,Product B,64633.38,USD
ParentCo,Net Income,2024-Q2,Finance,Product C,19856.36,GBP
ParentCo,Net Income,2024-Q2,Finance,Service X,49490.66,GBP
ParentCo,Net Income,2024-Q2,Finance,Service Y,215400.72,USD
ParentCo,Net Income,2024-Q2,Operations,Product A,458980.87,USD
ParentCo,Net Income,2024-Q2,Operations,Product B,114974.88,GBP
ParentCo,Net Income,2024-Q2,Operations,Product C,101106.34,GBP
ParentCo,Net Income,2024-Q2,Operations,Service X,488685.2,EUR
ParentCo,Net Income,2024-Q2,Operations,Service Y,45665.65,USD
ParentCo,Assets,2024-Q2,Sales,Product A,158532.05,EUR
ParentCo,Assets,2024-Q2,Sales,Product B,85333.59,EUR
ParentCo,Assets,2024-Q2,Sales,Product C,34454.5,EUR
ParentCo,Assets,2024-Q2,Sales,Service X,89826.65,GBP
ParentCo,Assets,2024-Q2,Sales,Service Y,76902.18,USD
ParentCo,Assets,2024-Q2,Marketing,Product A,437012.94,GBP
ParentCo,Assets,2024-Q2,Marketing,Product B,259064.73,EUR
ParentCo,Assets,2024-Q2,Marketing,Product C,490404.48,EUR
ParentCo,Assets,2024-Q2,Marketing,Service X,32601.72,GBP
ParentCo,Assets,2024-Q2,Marketing,Service Y,37702.42,GBP
ParentCo,Assets,2024-Q2,R&D,Product A,388302.77,USD
ParentCo,Assets,2024-Q2,R&D,Product B,393821.43,EUR
ParentCo,Assets,2024-Q2,R&D,Product C,220170.86,EUR
ParentCo,Assets,2024-Q2,R&D,Service X,340540.2,GBP
ParentCo,Assets,2024-Q2,R&D,Service Y,477655.58,USD
ParentCo,Assets,2024-Q2,Finance,Product A,247471.12,EUR
ParentCo,Assets,2024-Q2,Finance,Product B,472592.1,GBP
ParentCo,Assets,2024-Q2,Finance,Product C,185820.71,GBP
ParentCo,Assets,2024-Q2,Finance,Service X,25528.94,EUR
ParentCo,Assets,2024-Q2,Finance,Service Y,91161.43,EUR
ParentCo,Assets,2024-Q2,Operations,Product A,191628.51,USD
ParentCo,Assets,2024-Q2,Operations,Product B,454498.52,USD
ParentCo,Assets,2024-Q2,Operations,Product C,356591.32,USD
ParentCo,Assets,2024-Q2,Operations,Service X,466787.58,GBP
ParentCo,Assets,2024-Q2,Operations,Service Y,206987.4,GBP
ParentCo,Liabilities,2024-Q2,Sales,Product A,391806.69,USD
ParentCo,Liabilities,2024-Q2,Sales,Product B,121233.81,USD
ParentCo,Liabilities,2024-Q2,Sales,Product C,53616.11,EUR
ParentCo,Liabilities,2024-Q2,Sales,Service X,411324.06,EUR
ParentCo,Liabilities,2024-Q2,Sales,Service Y,113908.65,EUR
ParentCo,Liabilities,2024-Q2,Marketing,Product A,184426.44,GBP
ParentCo,Liabilities,2024-Q2,Marketing,Product B,226224.9,EUR
ParentCo,Liabilities,2024-Q2,Marketing,Product C,291365.35,USD
ParentCo,Liabilities,2024-Q2,Marketing,Service X,484603.42,USD
ParentCo,Liabilities,2024-Q2,Marketing,Service Y,119887.66,GBP
ParentCo,Liabilities,2024-Q2,R&D,Product A,117493.02,EUR
ParentCo,Liabilities,2024-Q2,R&D,Product B,112609.44,EUR
ParentCo,Liabilities,2024-Q2,R&D,Product C,298507.33,EUR
ParentCo,Liabilities,2024-Q2,R&D,Service X,62660.19,EUR
ParentCo,Liabilities,2024-Q2,R&D,Service Y,291976.87,USD
ParentCo,Liabilities,2024-Q2,Finance,Product A,205983.51,EUR
ParentCo,Liabilities,2024-Q2,Finance,Product B,341857.95,GBP
ParentCo,Liabilities,2024-Q2,Finance,Product C,148044.88,USD
ParentCo,Liabilities,2024-Q2,Finance,Service X,69321.28,GBP
ParentCo,Liabilities,2024-Q2,Finance,Service Y,144039.25,GBP
ParentCo,Liabilities,2024-Q2,Operations,Product A,433144.3,GBP
ParentCo,Liabilities,2024-Q2,Operations,Product B,44599.73,EUR
ParentCo,Liabilities,2024-Q2,Operations,Product C,412320.75,EUR
ParentCo,Liabilities,2024-Q2,Operations,Service X,229394.5,EUR
ParentCo,Liabilities,2024-Q2,Operations,Service Y,76847.04,EUR
ParentCo,Equity,2024-Q2,Sales,Product A,78381.35,EUR
ParentCo,Equity,2024-Q2,Sales,Product B,168988.32,USD
ParentCo,Equity,2024-Q2,Sales,Product C,249706.5,USD
ParentCo,Equity,2024-Q2,Sales,Service X,149552.04,GBP
ParentCo,Equity,2024-Q2,Sales,Service Y,22463.52,GBP
ParentCo,Equity,2024-Q2,Marketing,Product A,394819.42,EUR
ParentCo,Equity,2024-Q2,Marketing,Product B,353603.09,GBP
ParentCo,Equity,2024-Q2,Marketing,Product C,471569.06,GBP
ParentCo,Equity,2024-Q2,Marketing,Service X,494166.61,EUR
ParentCo,Equity,2024-Q2,Marketing,Service Y,247486.92,GBP
ParentCo,Equity,2024-Q2,R&D,Product A,425443.77,GBP
ParentCo,Equity,2024-Q2,R&D,Product B,485541.7,EUR
ParentCo,Equity,2024-Q2,R&D,Product C,442742.02,USD
ParentCo,Equity,2024-Q2,R&D,Service X,77786.85,EUR
ParentCo,Equity,2024-Q2,R&D,Service Y,195327.44,GBP
ParentCo,Equity,2024-Q2,Finance,Product A,310575.7,USD
ParentCo,Equity,2024-Q2,Finance,Product B,390433.53,GBP
ParentCo,Equity,2024-Q2,Finance,Product C,423112.89,EUR
ParentCo,Equity,2024-Q2,Finance,Service X,89872.42,USD
ParentCo,Equity,2024-Q2,Finance,Service Y,292907.15,USD
ParentCo,Equity,2024-Q2,Operations,Product A,252756.77,EUR
ParentCo,Equity,2024-Q2,Operations,Product B,448866.14,GBP
ParentCo,Equity,2024-Q2,Operations,Product C,453886.17,GBP
ParentCo,Equity,2024-Q2,Operations,Service X,62128.92,USD
ParentCo,Equity,2024-Q2,Operations,Service Y,489991.95,USD
ParentCo,Revenue,2024-Q3,Sales,Product A,95373.54,EUR
ParentCo,Revenue,2024-Q3,Sales,Product B,130938.47,GBP
ParentCo,Revenue,2024-Q3,Sales,Product C,404417.21,USD
ParentCo,Revenue,2024-Q3,Sales,Service X,477233.33,USD
ParentCo,Revenue,2024-Q3,Sales,Service Y,274087.42,EUR
ParentCo,Revenue,2024-Q3,Marketing,Product A,477101.1,EUR
ParentCo,Revenue,2024-Q3,Marketing,Product B,421307.04,GBP
ParentCo,Revenue,2024-Q3,Marketing,Product C,194701.8,GBP
ParentCo,Revenue,2024-Q3,Marketing,Service X,346528.91,GBP
ParentCo,Revenue,2024-Q3,Marketing,Service Y,20991.7,EUR
ParentCo,Revenue,2024-Q3,R&D,Product A,399286.59,USD
ParentCo,Revenue,2024-Q3,R&D,Product B,246042.56,USD
ParentCo,Revenue,2024-Q3,R&D,Product C,330268.63,EUR
ParentCo,Revenue,2024-Q3,R&D,Service X,468932.88,GBP
ParentCo,Revenue,2024-Q3,R&D,Service Y,15389.4,USD
ParentCo,Revenue,2024-Q3,Finance,Product A,479818.38,USD
ParentCo,Revenue,2024-Q3,Finance,Product B,88158.73,USD
ParentCo,Revenue,2024-Q3,Finance,Product C,57361.54,GBP
ParentCo,Revenue,2024-Q3,Finance,Service X,186499.05,EUR
ParentCo,Revenue,2024-Q3,Finance,Service Y,122131.51,GBP
ParentCo,Revenue,2024-Q3,Operations,Product A,457787.03,USD
ParentCo,Revenue,2024-Q3,Operations,Product B,327313.63,EUR
ParentCo,Revenue,2024-Q3,Operations,Product C,487679.07,EUR
ParentCo,Revenue,2024-Q3,Operations,Service X,396344.74,EUR
ParentCo,Revenue,2024-Q3,Operations,Service Y,279124.1,USD
ParentCo,COGS,2024-Q3,Sales,Product A,319208.19,EUR
ParentCo,COGS,2024-Q3,Sales,Product B,54741.2,EUR
ParentCo,COGS,2024-Q3,Sales,Product C,103852.95,USD
ParentCo,COGS,2024-Q3,Sales,Service X,312160.42,USD
ParentCo,COGS,2024-Q3,Sales,Service Y,359296.32,EUR
ParentCo,COGS,2024-Q3,Marketing,Product A,476573.3,EUR
ParentCo,COGS,2024-Q3,Marketing,Product B,302639.21,USD
ParentCo,COGS,2024-Q3,Marketing,Product C,209250.5,GBP
ParentCo,COGS,2024-Q3,Marketing,Service X,331249.8,EUR
ParentCo,COGS,2024-Q3,Marketing,Service Y,444290.68,EUR
ParentCo,COGS,2024-Q3,R&D,Product A,28557.57,EUR
ParentCo,COGS,2024-Q3,R&D,Product B,439267.42,GBP
ParentCo,COGS,2024-Q3,R&D,Product C,279530.54,EUR
ParentCo,COGS,2024-Q3,R&D,Service X,192950.88,EUR
ParentCo,COGS,2024-Q3,R&D,Service Y,35507.67,GBP
ParentCo,COGS,2024-Q3,Finance,Product A,28618.01,GBP
ParentCo,COGS,2024-Q3,Finance,Product B,272646.42,USD
ParentCo,COGS,2024-Q3,Finance,Product C,294017.14,USD
ParentCo,COGS,2024-Q3,Finance,Service X,130640.37,EUR
ParentCo,COGS,2024-Q3,Finance,Service Y,55067.1,GBP
ParentCo,COGS,2024-Q3,Operations,Product A,409311.53,USD
